employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted,awards_won_flag,training_score_bucket,education_encoded,tenure_ratio
66635,Operations,region_15,Bachelor's,m,other,1,31,5.0,4,0,63,1,0,high,1,0.10810810810810811
16027,Operations,region_26,Bachelor's,f,other,1,37,3.0,11,0,57,0,0,medium,1,0.2972972972972973
46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,0,83,0,0,very_high,1,0.10810810810810811
28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5.0,8,0,54,0,0,medium,1,0.21621621621621623
33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5.0,4,0,50,0,0,medium,2,0.10810810810810811
21387,Operations,region_13,Bachelor's,m,other,1,35,4.0,6,0,57,1,0,medium,1,0.16216216216216217
55927,Operations,region_13,Master's & above,f,sourcing,1,41,4.0,6,0,62,0,0,high,2,0.16216216216216217
60763,Procurement,region_2,Bachelor's,f,other,1,23,3.0,2,0,73,0,0,high,1,0.05405405405405406
53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3.0,4,0,50,0,0,medium,1,0.10810810810810811
32672,Analytics,region_22,Master's & above,m,other,1,42,2.0,19,0,79,0,0,high,2,0.5135135135135135
48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4.0,2,0,49,0,0,medium,1,0.05405405405405406
51444,HR,region_13,Bachelor's,f,other,1,30,0.0,1,0,54,0,0,medium,1,0.02702702702702703
75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,0,63,0,0,high,1,0.16216216216216217
14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,0,90,1,0,very_high,1,0.05405405405405406
17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5.0,5,0,49,0,0,medium,1,0.13513513513513514
54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4.0,2,0,46,0,0,medium,1,0.05405405405405406
51892,Technology,region_2,Bachelor's,m,other,1,27,5.0,2,0,86,1,0,very_high,1,0.05405405405405406
3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,72,0,0,high,1,0.05405405405405406
38771,Procurement,region_23,Bachelor's,f,other,1,27,4.0,4,0,72,1,0,high,1,0.10810810810810811
18959,Technology,region_15,Bachelor's,m,other,4,36,4.0,7,0,82,0,0,very_high,1,0.1891891891891892
21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4.0,6,0,77,0,0,high,1,0.16216216216216217
26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5.0,7,0,51,1,0,medium,2,0.1891891891891892
38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5.0,3,1,92,1,1,very_high,2,0.08108108108108109
41746,Operations,region_22,Bachelor's,f,sourcing,1,27,0.0,1,0,58,0,0,medium,1,0.02702702702702703
72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3.0,5,0,71,0,0,high,2,0.13513513513513514
5461,Analytics,region_8,Bachelor's,m,other,1,28,0.0,1,0,83,0,0,very_high,1,0.02702702702702703
15227,Procurement,region_27,Master's & above,f,other,1,40,5.0,5,0,68,0,0,high,2,0.13513513513513514
66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,0.0,1,0,50,0,0,medium,1,0.02702702702702703
42068,Operations,region_1,Master's & above,m,other,1,38,5.0,9,0,61,0,0,high,2,0.24324324324324326
54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3.0,2,0,47,0,0,medium,1,0.05405405405405406
77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5.0,3,0,46,0,0,medium,1,0.08108108108108109
43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,0,67,0,0,high,1,0.10810810810810811
74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,0,58,0,0,medium,1,0.1891891891891892
19318,Analytics,region_22,Bachelor's,m,other,1,32,3.0,8,0,89,1,0,very_high,1,0.21621621621621623
12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5.0,8,0,50,0,0,medium,2,0.21621621621621623
5102,Operations,region_7,Bachelor's,m,sourcing,1,24,0.0,1,0,56,0,0,medium,1,0.02702702702702703
29521,Technology,region_15,Bachelor's,m,other,1,27,3.0,4,0,78,0,0,high,1,0.10810810810810811
36371,Finance,region_28,Master's & above,m,other,2,34,3.0,7,0,56,0,0,medium,2,0.1891891891891892
51164,Technology,region_14,Bachelor's,f,other,1,31,4.0,4,1,78,0,1,high,1,0.10810810810810811
17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4.0,2,0,77,0,0,high,1,0.05405405405405406
7606,Technology,region_29,Bachelor's,f,other,2,30,3.0,7,1,76,0,1,high,1,0.1891891891891892
50593,Finance,region_23,Bachelor's,m,sourcing,1,31,0.0,1,0,56,0,0,medium,1,0.02702702702702703
73735,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,0,84,0,0,very_high,1,0.08108108108108109
29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3.0,2,0,57,0,0,medium,1,0.05405405405405406
40262,Technology,region_2,Bachelor's,m,other,2,28,3.0,5,0,81,0,0,very_high,1,0.13513513513513514
36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3.0,2,0,51,0,0,medium,1,0.05405405405405406
62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3.0,11,0,51,0,0,medium,2,0.2972972972972973
63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5.0,4,0,80,0,0,high,1,0.10810810810810811
74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1.0,4,0,72,0,0,high,1,0.10810810810810811
75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4.0,6,0,50,0,0,medium,2,0.16216216216216217
74018,HR,region_7,Master's & above,f,other,1,37,3.0,9,0,48,0,0,medium,2,0.24324324324324326
34985,Technology,region_5,Bachelor's,f,other,2,34,5.0,8,0,88,1,0,very_high,1,0.21621621621621623
35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5.0,3,0,70,1,0,high,1,0.08108108108108109
6708,Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,0,57,0,0,medium,2,0.10810810810810811
5515,Operations,region_13,Master's & above,m,other,1,43,3.0,7,0,56,1,0,medium,2,0.1891891891891892
53373,Operations,region_13,Bachelor's,m,other,1,36,1.0,5,0,56,0,0,medium,1,0.13513513513513514
69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3.0,3,0,63,0,0,high,1,0.08108108108108109
41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3.0,2,0,56,0,0,medium,1,0.05405405405405406
50622,Analytics,region_25,Master's & above,m,other,1,34,5.0,2,0,84,0,0,very_high,2,0.05405405405405406
30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4.0,4,0,45,0,0,medium,1,0.10810810810810811
45157,HR,region_4,Bachelor's,m,other,1,27,0.0,1,0,50,0,0,medium,1,0.02702702702702703
23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3.0,5,0,75,0,0,high,1,0.13513513513513514
74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1.0,4,0,48,0,0,medium,1,0.10810810810810811
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5.0,7,0,70,0,0,high,2,0.1891891891891892
42245,Procurement,region_22,Bachelor's,f,other,1,33,3.0,3,0,73,0,0,high,1,0.08108108108108109
34405,Procurement,region_2,Master's & above,f,other,1,33,5.0,4,0,67,0,0,high,2,0.10810810810810811
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1.0,8,0,45,0,0,medium,1,0.21621621621621623
23599,Technology,region_23,Master's & above,m,other,1,34,4.0,7,0,82,0,0,very_high,2,0.1891891891891892
942,Technology,region_22,Bachelor's,m,other,2,32,4.0,6,0,84,0,0,very_high,1,0.16216216216216217
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4.0,6,0,53,0,0,medium,2,0.16216216216216217
197,Finance,region_12,Bachelor's,m,other,1,29,5.0,6,0,61,0,0,high,1,0.16216216216216217
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1.0,2,0,50,0,0,medium,1,0.05405405405405406
26773,Technology,region_7,Bachelor's,f,other,1,28,2.0,5,0,75,0,0,high,1,0.13513513513513514
70034,Procurement,region_2,Master's & above,f,other,2,35,3.0,9,0,70,0,0,high,2,0.24324324324324326
40565,Technology,region_2,Bachelor's,f,other,2,40,3.0,3,0,86,0,0,very_high,1,0.08108108108108109
17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2.0,4,0,54,0,0,medium,1,0.10810810810810811
76550,Procurement,region_22,Bachelor's,f,other,3,26,3.0,3,0,70,0,0,high,1,0.08108108108108109
53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2.0,12,0,57,0,0,medium,1,0.32432432432432434
28314,Finance,region_26,Bachelor's,m,other,1,23,0.0,1,0,61,0,0,high,1,0.02702702702702703
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5.0,6,0,84,0,0,very_high,1,0.16216216216216217
29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3.0,15,0,51,0,0,medium,1,0.40540540540540543
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4.0,4,0,49,0,0,medium,1,0.10810810810810811
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,0,70,0,0,high,1,0.10810810810810811
34306,Procurement,region_13,Bachelor's,f,other,1,31,5.0,5,0,72,0,0,high,1,0.13513513513513514
34041,Operations,region_7,Bachelor's,m,other,1,40,4.0,11,0,58,0,0,medium,1,0.2972972972972973
21356,Operations,region_15,Bachelor's,f,other,2,39,5.0,12,0,55,0,0,medium,1,0.32432432432432434
29540,Operations,region_2,Bachelor's,f,other,2,30,3.0,6,0,57,0,0,medium,1,0.16216216216216217
51669,Technology,region_2,Master's & above,m,other,1,47,4.0,4,0,77,0,0,high,2,0.10810810810810811
33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4.0,7,0,48,1,0,medium,1,0.1891891891891892
6254,Operations,region_2,Bachelor's,f,other,1,33,4.0,9,0,64,0,0,high,1,0.24324324324324326
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5.0,7,0,51,0,0,medium,2,0.1891891891891892
3231,Technology,region_7,Bachelor's,m,other,1,29,1.0,4,0,80,0,0,high,1,0.10810810810810811
7030,Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,0,86,0,0,very_high,1,0.10810810810810811
54198,Procurement,region_7,Master's & above,f,other,1,47,5.0,9,0,68,0,0,high,2,0.24324324324324326
62293,Operations,region_27,Bachelor's,m,other,1,35,4.0,3,0,65,0,0,high,1,0.08108108108108109
25312,Technology,region_22,Bachelor's,m,other,1,27,4.0,2,0,75,0,0,high,1,0.05405405405405406
75610,Analytics,region_32,Bachelor's,m,other,1,29,1.0,3,0,81,0,0,very_high,1,0.08108108108108109
16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3.0,9,0,49,0,0,medium,1,0.24324324324324326
42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1.0,8,0,39,0,0,low,1,0.21621621621621623
67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3.0,2,0,70,0,0,high,1,0.05405405405405406
53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4.0,5,1,94,1,1,very_high,2,0.13513513513513514
72423,Operations,region_2,Master's & above,m,sourcing,1,39,3.0,2,0,60,0,0,medium,2,0.05405405405405406
73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5.0,2,0,51,0,0,medium,1,0.05405405405405406
63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5.0,4,0,56,0,0,medium,1,0.10810810810810811
60761,Operations,region_16,Bachelor's,f,other,1,31,4.0,2,0,62,0,0,high,1,0.05405405405405406
57228,HR,region_2,Master's & above,m,sourcing,1,44,5.0,6,0,48,0,0,medium,2,0.16216216216216217
14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3.0,4,0,49,0,0,medium,1,0.10810810810810811
22725,Technology,region_26,Bachelor's,m,other,1,40,1.0,3,0,78,0,0,high,1,0.08108108108108109
18981,Legal,region_2,Master's & above,m,sourcing,1,50,5.0,6,1,58,0,1,medium,2,0.16216216216216217
50845,Procurement,region_19,Master's & above,m,other,1,44,3.0,12,0,70,0,0,high,2,0.32432432432432434
11800,Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,0,69,0,0,high,0,0.05405405405405406
16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1.0,2,0,53,0,0,medium,2,0.05405405405405406
75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1.0,4,0,80,0,0,high,1,0.10810810810810811
73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5.0,4,0,58,0,0,medium,1,0.10810810810810811
17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,0.0,1,0,85,0,0,very_high,1,0.02702702702702703
58338,Analytics,region_1,Bachelor's,m,other,2,30,5.0,6,0,81,0,0,very_high,1,0.16216216216216217
40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1.0,8,0,67,0,0,high,1,0.21621621621621623
70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4.0,8,0,86,0,0,very_high,1,0.21621621621621623
27188,Analytics,region_13,Master's & above,m,other,1,30,3.0,4,0,80,0,0,high,2,0.10810810810810811
24291,Analytics,region_26,Bachelor's,m,other,2,27,5.0,3,0,85,0,0,very_high,1,0.08108108108108109
43676,Procurement,region_2,Bachelor's,m,other,4,29,0.0,1,0,68,0,0,high,1,0.02702702702702703
52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3.0,3,0,58,0,0,medium,1,0.08108108108108109
34241,Analytics,region_22,Bachelor's,m,other,2,28,3.0,5,0,86,0,0,very_high,1,0.13513513513513514
76661,Procurement,region_17,Bachelor's,m,other,1,31,5.0,3,0,68,0,0,high,1,0.08108108108108109
50595,Operations,region_2,Bachelor's,f,other,1,43,4.0,12,0,58,0,0,medium,1,0.32432432432432434
67673,Operations,region_4,Bachelor's,f,other,1,35,5.0,9,0,60,0,0,medium,1,0.24324324324324326
10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3.0,9,0,49,0,0,medium,1,0.24324324324324326
73405,Operations,region_2,Master's & above,m,other,1,50,3.0,8,0,59,0,0,medium,2,0.21621621621621623
73114,HR,region_17,Bachelor's,f,other,1,26,4.0,3,0,50,0,0,medium,1,0.08108108108108109
22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3.0,5,0,52,0,0,medium,1,0.13513513513513514
62923,Operations,region_13,Master's & above,f,other,1,38,5.0,2,1,93,1,1,very_high,2,0.05405405405405406
57235,Sales & Marketing,region_26,Bachelor's,m,other,1,22,4.0,2,0,51,0,0,medium,1,0.05405405405405406
22300,HR,region_20,Bachelor's,m,other,1,28,0.0,1,0,52,0,0,medium,1,0.02702702702702703
24090,Procurement,region_14,Bachelor's,f,sourcing,1,37,3.0,9,0,69,0,0,high,1,0.24324324324324326
57298,Analytics,region_2,Bachelor's,m,sourcing,2,54,3.0,9,0,86,0,0,very_high,1,0.24324324324324326
25629,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3.0,8,0,51,0,0,medium,1,0.21621621621621623
71339,Technology,region_6,Bachelor's,m,other,1,35,3.0,8,0,78,0,0,high,1,0.21621621621621623
54714,Analytics,region_29,Bachelor's,m,other,1,39,3.0,4,0,85,0,0,very_high,1,0.10810810810810811
7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5.0,4,0,63,0,0,high,1,0.10810810810810811
9563,Operations,region_31,Bachelor's,m,other,2,38,3.0,7,1,60,0,1,medium,1,0.1891891891891892
39107,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1.0,2,0,48,0,0,medium,1,0.05405405405405406
19445,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2.0,3,0,52,0,0,medium,1,0.08108108108108109
42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,0.0,1,0,54,0,0,medium,1,0.02702702702702703
